serial,refactoring,project,commit,url
1,Add brackets,Junit4,"bd6dc3af
",https://github.com/junit-team/junit4/commit/bd6dc3af
2,Add delegation for super classs constructor,Tomcat,"992bf9219b
",https://github.com/apache/tomcat/commit/992bf9219b
3,Add final keyword,Kafka,"65424ab484
",https://github.com/apache/kafka/commit/65424ab484
4,Add parameter,Kafka,"5eb82010ef
",https://github.com/apache/kafka/commit/5eb82010ef
5,Add parameter annotation,Kafka,"5eb82010ef
",https://github.com/apache/kafka/commit/5eb82010ef
6,Add parameter modifier,Kafka,"5eb82010ef
",https://github.com/apache/kafka/commit/5eb82010ef
7,Avoid unnecessary actions by precondition checking,Tomcat,"3a9dbd17f5
",https://github.com/apache/tomcat/commit/3a9dbd17f5
8,Avoid unnecessary actions by precondition checking,Tomcat,"3a9dbd17f5
",https://github.com/apache/tomcat/commit/3a9dbd17f5
9,Change method signature,Elasticsearch,"1d7d9dc1eed
",https://github.com/elastic/elasticsearch/commit/1d7d9dc1eed
10,Change method signature,Elasticsearch,"5cf8b94f300
",https://github.com/elastic/elasticsearch/commit/5cf8b94f300
11,Change method signature,Elasticsearch,"90f5bd5d635
",https://github.com/elastic/elasticsearch/commit/90f5bd5d635
12,Change method signature,Elasticsearch,"922e790cdc8
",https://github.com/elastic/elasticsearch/commit/922e790cdc8
13,Change method signature,Junit4,97654ff3,https://github.com/junit-team/junit4/commit/97654ff3
14,Change method signature,Kafka,"0bc736f3c4
",https://github.com/apache/kafka/commit/0bc736f3c4
15,Change method signature,Kafka,2c925e9f33,https://github.com/apache/kafka/commit/2c925e9f33
16,Change method signature,Kafka,"2e2f32c050
",https://github.com/apache/kafka/commit/2e2f32c050
17,Change method signature,Kafka,"513e1c641d
",https://github.com/apache/kafka/commit/513e1c641d
18,Change method signature,Kafka,"5767d12963
",https://github.com/apache/kafka/commit/5767d12963
19,Change method signature,Kafka,"c254b22a48
",https://github.com/apache/kafka/commit/c254b22a48
20,Change method signature,Kafka,"dcff0878c4
",https://github.com/apache/kafka/commit/dcff0878c4
21,Change method signature,Tomcat,"a33a493ef7
",https://github.com/apache/tomcat/commit/a33a493ef7
22,Combine enum with comparator,Elasticsearch,"1fae3e75017
",https://github.com/elastic/elasticsearch/commit/1fae3e75017
23,Convert nested class to inner class,Springframework,"eafbcfd385
",https://github.com/spring-projects/spring-framework/commit/eafbcfd385
24,Decrease visibility,Kafka,"2a6e420dfb
",https://github.com/apache/kafka/commit/2a6e420dfb
25,Encapsulate field,Junit4,"495a9a93
",https://github.com/junit-team/junit4/commit/495a9a93
26,Encapsulate field,Junit4,"495a9a93
",https://github.com/junit-team/junit4/commit/495a9a93
27,Encapsulate field,Junit4,"5042f695
",https://github.com/junit-team/junit4/commit/5042f695
28,Encapsulate field,Springframework,"6fa09e1783
",https://github.com/spring-projects/spring-framework/commit/6fa09e1783
29,Encapsulate field,Tomcat,"bf58e444d9
",https://github.com/apache/tomcat/commit/bf58e444d9
30,Extract class,Elasticsearch,"2b175653d9f
",https://github.com/elastic/elasticsearch/commit/2b175653d9f
31,Extract class,Elasticsearch,"45c32871acb
",https://github.com/elastic/elasticsearch/commit/45c32871acb
32,Extract class,Elasticsearch,"987b778bb67
",https://github.com/elastic/elasticsearch/commit/987b778bb67
33,Extract class,Elasticsearch,c0d35f1e77d,https://github.com/elastic/elasticsearch/commit/c0d35f1e77d
34,Extract class,Elasticsearch,dbf59c54143,https://github.com/elastic/elasticsearch/commit/dbf59c54143
35,Extract class,Elasticsearch,"ed6e8ec80c7
",https://github.com/elastic/elasticsearch/commit/ed6e8ec80c7
36,Extract class,Hadoop,"151b71d7affb
",https://github.com/apache/hadoop/commit/151b71d7affb
37,Extract class,Hadoop,40467519399c,https://github.com/apache/hadoop/commit/40467519399c
38,Extract class,Hadoop,"5440c75c4abe
",https://github.com/apache/hadoop/commit/5440c75c4abe
39,Extract class,Hadoop,"5ed7e912dcf5
",https://github.com/apache/hadoop/commit/5ed7e912dcf5
40,Extract class,Hadoop,"75bc6cfced30
",https://github.com/apache/hadoop/commit/75bc6cfced30
41,Extract class,Hadoop,"7cb22eb72d58
",https://github.com/apache/hadoop/commit/7cb22eb72d58
42,Extract class,Hadoop,"c9a174a26057
",https://github.com/apache/hadoop/commit/c9a174a26057
43,Extract class,Hadoop,d60262fe0092,https://github.com/apache/hadoop/commit/d60262fe0092
44,Extract class,Hadoop,dd72e8fbc364,https://github.com/apache/hadoop/commit/dd72e8fbc364
45,Extract class,Junit4,4512777f,https://github.com/junit-team/junit4/commit/4512777f
46,Extract class,Junit4,"52e93b4f
",https://github.com/junit-team/junit4/commit/52e93b4f
47,Extract class,Junit4,543905df,https://github.com/junit-team/junit4/commit/543905df
48,Extract class,Junit4,620ccfdd,https://github.com/junit-team/junit4/commit/620ccfdd
49,Extract class,Junit4,"88f7a12d
",https://github.com/junit-team/junit4/commit/88f7a12d
50,Extract class,Junit4,877750a0,https://github.com/junit-team/junit4/commit/877750a0
51,Extract class,Junit4,"a5d194fc
",https://github.com/junit-team/junit4/commit/a5d194fc
